"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 26 14:48:44 CST 2025","Sat Apr 26 14:49:08 CST 2025","24217","testcase","BaiduPage_test","Test_casePage","","","test1_query",""
"skipped","Sat Apr 26 14:49:41 CST 2025","Sat Apr 26 14:49:41 CST 2025","0","testcase","One_test","Test_casePage","","","test2_createCase",""
"skipped","Sat Apr 26 14:49:08 CST 2025","Sat Apr 26 14:49:08 CST 2025","0","testcase","BaiduPage_test","Test_casePage","","","test2_createCase",""
"passed","Sat Apr 26 14:49:16 CST 2025","Sat Apr 26 14:49:41 CST 2025","24967","testcase","One_test","Test_casePage","","","test1_query",""
